ec5_uuid;created_at;1_TIme;2_NC;4_MN_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NY_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_LN_Behavior;29_Contact;30_AR;31_3M;Unnamed: 28;highlight
6958a156-4253-4a6a-ad10-0d2f8d8a772e;2025-03-11T05:43:44.000Z;14:43;NO;GG;LN;;;;RS;;NR;;;RS;;NY;;;E;;;;;GR;MN;;;;red
5c3e64df-8693-4e24-a263-c3436776f9ef;2025-03-11T05:45:09.000Z;14:45;Yes;GG;LN;;;;RS;;NR;;;RS;;NY;;;E;;;;;GR;MN;;;;green
423e8c15-243b-4ca6-9677-4a4ff0244753;2025-03-12T00:34:10.000Z;09:33;NO;M;;;NY;;RS;;;ST;;RS;;;;;RS;;;;;RS;;;;;
32e1e66f-eea7-4e19-9655-ef80e822f682;2025-03-12T00:36:09.000Z;09:35;NO;E;;SR;;;RS;;;;;E;;ST;;;RS;;;;;RS;;;;;
1eb930ae-ea07-4bd7-b2e4-5910b9f3c9c5;2025-03-12T00:38:27.000Z;09:37;NO;E;;SR;TN;;RS;TK;;;;E;;TN, ST;;;RS;;NY;;;RS;;SR;ST;;red
d9a8e04c-8d72-44f2-bf42-f7f796005717;2025-03-12T00:39:33.000Z;09:39;Yes;E;;SR;TN;;RS;TK;;;;E;;TN, ST;;;RS;;NY;;;RS;;SR;ST;;green
8bb72d3b-9900-453c-a890-f63c17a8610b;2025-03-12T00:42:10.000Z;09:41;NO;M;;;SR, TN;;RS;;;TK;;E;;TN;ST;;RS;;;NY;;RS;;SR;ST;;
d5f673a0-9b3e-4161-af9e-10468f362001;2025-03-12T00:44:02.000Z;09:43;NO;RS;;;TK;;RS;;;TK;;E;;TN;;;RS;;;NY, ST;;RS;;SR;;;
dcb62778-628b-459f-95f1-5599a54d4381;2025-03-12T00:46:03.000Z;09:45;NO;RS;;;TK;;RS;;;TK;;GG;TN;;;;RS;;;NY, ST;;GR;SR;;;;
59ace8d4-27ab-475f-877d-968b63b7aef6;2025-03-12T00:48:08.000Z;09:47;NO;RS;;;;;RS;;;TK;;GG;TN;;;;RS;;;NY;;GR;SR;;;;
6ee24f84-f010-454c-abf8-caa500a66043;2025-03-12T00:50:04.000Z;09:49;NO;M;;;NY;;RS;;;ST;;RS;;TN;;;RS;;;;;RS;;SR;;;
