ec5_uuid;created_at;1_TIme;2_NC;4_MS_Behavior;5_Contact;6_AR;7_3;8_Notes;10_ST_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NH_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_LN_Behavior;23_Contact;24_AR;25_3;26_Notes;28_NR_Behavior;29_Contact;30_AR;31_3M;32_Notes;34_MN_Behavior;35_Contact;36_AR;37_3M;38_Notes;40_NY_Behavior;41_Contact;42_AR;43_3M;44_Notes
e3a360e3-900c-485c-bfff-79027a3003e7;2025-05-04T01:12:33.000Z;10:11;;;;;;;;;;;;DS;;;;;;;;;;;;;;;DS;;;;Towards cage c;;;;;
585dc681-7739-4fc3-82c7-a68e7496891d;2025-05-04T05:17:29.000Z;14:16;;;;;;;;;;;;;;;;;PL;NR;;;;PL;LN;;;;;;;;;;;;;
7b8ab5eb-1b1b-4ff7-b3a0-eef6674d8999;2025-05-04T05:19:06.000Z;14:19;Yes;;;;;;;;;;;;;;;;PL;NR;;;;PL;LN;;;;;;;;;;;;;
b3f0c857-dfdb-438e-9741-a0ec88087513;2025-05-04T05:21:06.000Z;14:20;Yes;;;;;;;;;;;;;;;;PL;NR;;;;PL;LN;;;;;;;;;;;;;
5535abe4-1b81-4110-b794-648c87d66f9f;2025-05-04T05:25:46.000Z;14:24;;;;;;;;;;;;PL;NR;;;;;;;;;PL;NH;;;;;;;;;;;;;
9769d5f1-5b35-4775-a0f9-940939268bfc;2025-05-04T05:27:14.000Z;14:27;Yes;;;;;;;;;;;PL;NR;;;;;;;;;PL;NH;;;;;;;;;;;;;
f5fdc5a1-1499-4128-a155-cff1d8a18017;2025-05-19T01:16:52.000Z;10:16;;;;;;;;;;;;;;;;;;;;;;;;;;;DS;;;;;;;;;
84b6eb6b-8259-40cc-a8b7-41ef420b46f9;2025-05-19T01:18:28.000Z;10:18;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;DS;;;;;;;;;
0ca64fd8-4b09-4dc3-9d63-86a8ae0339f8;2025-05-19T01:21:34.000Z;10:20;;;;;;;;;;;;DS;;;;Towards cage c;;;;;;;;;;;DS;;;;Display towards cage c and then runs away;;;;;
d0479311-f0f4-4c78-a8a7-a141ac5cd3bb;2025-05-20T02:30:33.000Z;11:30;;;;;;;;;;;;RS;;;;;;;;;;;;;;;DS;;;;Towards cage c;;;;;
