ec5_uuid;date;1_TIme;2_NC;4_MZ_Behavior;5_Contact;6_AR;7_3M;8_Occurence;9_Notes;11_SB_Behavior;12_Contact;13_AR;14_3M;15_Occurence;16_Notes;18_GG_Behavior;19_Contact;20_AR;21_3M;22_Occurence;23_Notes;25_MS_Behavior;26_Contact;27_AR;28_3M;29_Occurence;30_Notes;highlight;msm;corrected_msm
f5005b36-988f-49ca-9214-5e9ba91f0b44;2025-04-27;1900-01-01 13:24:00;NO;E;;GG;MS;;;E;;;;;;E;;MZ;MS;;;E;;;MZ, GG;;;red;804;803.0
662426ea-112f-4d75-887f-46bba14a75a0;2025-04-27;1900-01-01 13:26:00;Yes;E;;GG;MS;;;E;;;;;;E;;MZ;MS;;;E;;;MZ, GG;;;green;806;805.0
363ddc4a-8975-4a66-87e7-7bc6ac4c88f2;2025-04-27;1900-01-01 13:28:00;Yes;E;;GG;MS;;;E;;;;;;E;;MZ;MS;;;E;;;MZ, GG;;;green;808;807.0
7b324eea-26b1-4e92-a821-ceceb17ffdf4;2025-04-27;1900-01-01 13:30:00;NO;E;;;MS;;;E;;;;;;E;;;MS;;;E;;;MZ, GG;;;red;810;809.0
027d9261-fdf4-4da5-8de1-6c8da7b20cee;2025-04-27;1900-01-01 13:32:00;Yes;E;;;MS;;;E;;;;;;E;;;MS;;;E;;;MZ, GG;;;green;812;811.0
af18a891-1705-4e75-ae79-3ad916500275;2025-04-27;1900-01-01 13:34:00;NO;E;;;GG, MS;;;E;;;;;;E;;MS;MZ;;;E;;GG;MZ;;;red;814;813.0
494b6183-9082-4c9a-9b5b-6487ef95c1e0;2025-04-27;1900-01-01 13:36:00;Yes;E;;;GG, MS;;;E;;;;;;E;;MS;MZ;;;E;;GG;MZ;;;green;816;815.0
4fa7a331-b53f-44fc-9bd6-48084affbab3;2025-04-27;1900-01-01 13:38:00;NO;M;;;;;;E;;;;;;E;;MS;;;;E;;GG;;;;;818;817.0
a89e6b32-d84b-4484-ad9c-9426c276de30;2025-04-27;1900-01-01 13:40:00;NO;E;;;;;;E;;;;;;E;;MS;;;;E;;GG;;;;;820;819.0
28a2de82-07e9-4db4-ad46-20a196510489;2025-04-27;1900-01-01 13:42:00;NO;E;;;;;;E;;;;;;E;;;;;;RS;;;;;;;822;821.0
c62d4eb2-efb7-4986-8627-03e8e9152e73;2025-04-27;1900-01-01 13:44:00;NO;E;;;;;;RS;;;;;;E;;;;;;E;;;;;;red;824;823.0
5b888385-bc8c-4c83-a94c-7eeb8c421833;2025-04-27;1900-01-01 13:46:00;Yes;E;;;;;;RS;;;;;;E;;;;;;E;;;;;;green;826;825.0
2c0390d6-d1f2-4693-a2ed-ac9cd4bf7ee5;2025-04-27;1900-01-01 13:48:00;Yes;E;;;;;;RS;;;;;;E;;;;;;E;;;;;;green;828;827.0
c5ab557b-01b2-4fe5-b224-8ebe9c9638fd;2025-04-27;1900-01-01 13:50:00;NO;E;;MS;;;;RS;;;;;;E;;;;;;E;;MZ;;;;;830;829.0
69187e1a-1642-497b-a70a-1c641da6e71e;2025-04-27;1900-01-01 13:52:00;NO;E;;;;;;RS;;;;;;E;;;;;;RS;;;;;;red;832;831.0
6f6defde-6343-40bb-b03e-f2b6aff2bef4;2025-04-27;1900-01-01 13:54:00;Yes;E;;;;;;RS;;;;;;E;;;;;;RS;;;;;;green;834;833.0
9553c863-12e7-4618-9981-5f36bead01cd;2025-04-27;1900-01-01 13:56:00;Yes;E;;;;;;RS;;;;;;E;;;;;;RS;;;;;;green;836;835.0
a9d20af8-a4a7-45c0-85e3-6bf071f2b17e;2025-04-27;1900-01-01 13:58:00;Yes;E;;;;;;RS;;;;;;E;;;;;;RS;;;;;;green;838;837.0
7655f10a-8b63-45b5-965e-4b2cede4bdf7;2025-04-27;1900-01-01 14:00:00;Yes;E;;;;;;RS;;;;;;E;;;;;;RS;;;;;;green;840;839.0
d93a3fd9-3ce1-499b-99ec-2ef58015dcb7;2025-04-27;1900-01-01 14:02:00;Yes;E;;;;;;RS;;;;;;E;;;;;;RS;;;;;;green;842;841.0
e6c76317-678f-4773-ac38-7262697cbb72;2025-04-27;1900-01-01 14:04:00;Yes;E;;;;;;RS;;;;;;E;;;;;;RS;;;;;;green;844;843.0
482cd22b-d390-4ff5-9161-cd658ce988fd;2025-04-27;1900-01-01 14:06:00;NO;M;;;;;;M;;;;;;E;;;;;;RS;;;;;;red;846;845.0
861de10e-b68c-45d6-9031-d192bf10d3ff;2025-04-27;1900-01-01 14:08:00;Yes;M;;;;;;M;;;;;;E;;;;;;RS;;;;;;green;848;847.0
527d5fc8-6e0e-402d-922f-aeccd737aa92;2025-04-27;1900-01-01 14:10:00;NO;E;;;;;;RS;;;;;;E;;;;;;RS;;;;;;;850;849.0
81f5842f-1d2a-4883-a72c-11b0a9ddcf56;2025-04-27;1900-01-01 14:12:00;NO;M;;;;;;DS;;;;;;E;;;;;;RS;;;;;;;852;851.0
96b1e94f-8428-428c-9e18-bded75de6d8b;2025-04-27;1900-01-01 14:14:00;NO;PL;;MS, SB;;;;PL;;MS, MZ;;;;E;;;;;;PL;;SB, MZ;;;;;854;853.0
5a7779a4-fcb8-4a3f-ad12-e928c6244186;2025-04-27;1900-01-01 14:16:00;NO;RS;;;;;;RS;;;;;;PL;;MS;;;;PL;;GG;;;;;856;855.0
0eb32934-9dd6-4ecc-9285-4d1788f8526d;2025-04-27;1900-01-01 14:18:00;NO;E;;;;;;E;;;GG;;;E;;;SB;;;E;;;;;;red;858;857.0
095843d8-36a9-48e8-a1c1-b43ad44cc356;2025-04-27;1900-01-01 14:20:00;Yes;E;;;;;;E;;;GG;;;E;;;SB;;;E;;;;;;green;860;859.0
77a87741-ba99-4ea5-9144-267db11c00a5;2025-04-27;1900-01-01 14:22:00;Yes;E;;;;;;E;;;GG;;;E;;;SB;;;E;;;;;;green;862;861.0
eb67b969-110f-42c1-8876-6a1fa7c15dbd;2025-04-27;1900-01-01 14:24:00;NO;E;;SB;;;;E;;MZ;;;;RS;;;MS;;;RL;;;GG;;;red;864;863.0
6ee59dd4-2146-44f7-ab68-86280bc7ef60;2025-04-27;1900-01-01 14:26:00;Yes;E;;SB;;;;E;;MZ;;;;RS;;;MS;;;RL;;;GG;;;green;866;865.0
cd16b6ee-d7ce-448a-bbe0-89087c01e5d9;2025-04-27;1900-01-01 14:28:00;NO;RS;;;;;;E;;;;;;RS;;;MS;;;RL;;;GG;;;red;868;867.0
50610cae-055f-4aa8-a64e-551aff98f012;2025-04-27;1900-01-01 14:30:00;Yes;RS;;;;;;E;;;;;;RS;;;MS;;;RL;;;GG;;;green;870;869.0
8f82ac98-3260-4dd9-bc18-40acbb25ea76;2025-04-27;1900-01-01 14:32:00;Yes;RS;;;;;;E;;;;;;RS;;;MS;;;RL;;;GG;;;green;872;871.0
f0de56d0-1d2c-4628-b82b-b4d16fdf5f88;2025-04-27;1900-01-01 14:34:00;NO;M;;;;;;M;;;;;;RL;;;MS;;;RL;;;GG;;;;874;873.0
7c70f092-9eb8-41e7-b99b-48fe532ec9f5;2025-04-27;1900-01-01 14:36:00;NO;RS;;;;;;RS;;;;;;RL;;;MS;;;RL;;;GG;;;red;876;875.0
17219a2d-7b4e-4b88-a10c-4d399375e212;2025-04-27;1900-01-01 14:38:00;Yes;RS;;;;;;RS;;;;;;RL;;;MS;;;RL;;;GG;;;green;878;877.0
d1dd9419-9017-4c56-8482-5448a4bde0c9;2025-04-27;1900-01-01 14:40:00;Yes;RS;;;;;;RS;;;;;;RL;;;MS;;;RL;;;GG;;;green;880;879.0
0b8c6610-fe1a-437e-ba2d-f19fd0da8339;2025-04-27;1900-01-01 14:42:00;Yes;RS;;;;;;RS;;;;;;RL;;;MS;;;RL;;;GG;;;green;882;881.0
b6f6e274-d3bd-4f86-8274-5b0170b7a152;2025-04-27;1900-01-01 14:44:00;Yes;RS;;;;;;RS;;;;;;RL;;;MS;;;RL;;;GG;;;green;884;883.0
55df376d-07e7-47c8-9924-51b3e512fc43;2025-04-27;1900-01-01 14:46:00;NO;RS;;;;;;RS;;;;;;RS;;;;;;RS;;;;;;;886;885.0
