date,msm,A,B,C,total,n_ok,n_missing,n_duplicate,row_status,A_missing_day,B_missing_day,C_missing_day
2025-03-12,829,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,831,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,833,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,835,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,837,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,839,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,841,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,843,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,845,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,847,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,849,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,851,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,853,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,855,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,857,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,859,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,861,1.0,1.0,0.0,2.0,2,1,0,MISSING,5,5,5
2025-03-12,863,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,865,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,867,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,869,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,871,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,873,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,875,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,877,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,879,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,881,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,883,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,885,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-14,570,0.0,0.0,0.0,0.0,0,3,0,MISSING,5,5,108
2025-03-14,572,0.0,0.0,0.0,0.0,0,3,0,MISSING,5,5,108
2025-03-14,574,1.0,1.0,0.0,2.0,2,1,0,MISSING,5,5,108
2025-03-14,576,1.0,1.0,0.0,2.0,2,1,0,MISSING,5,5,108
2025-03-14,578,1.0,1.0,0.0,2.0,2,1,0,MISSING,5,5,108
2025-03-14,580,1.0,1.0,0.0,2.0,2,1,0,MISSING,5,5,108
2025-03-14,582,1.0,1.0,0.0,2.0,2,1,0,MISSING,5,5,108
2025-03-14,584,1.0,1.0,0.0,2.0,2,1,0,MISSING,5,5,108
2025-03-14,586,1.0,1.0,0.0,2.0,2,1,0,MISSING,5,5,108
2025-03-14,588,1.0,1.0,0.0,2.0,2,1,0,MISSING,5,5,108
2025-03-14,590,1.0,1.0,0.0,2.0,2,1,0,MISSING,5,5,108
2025-03-14,592,1.0,1.0,0.0,2.0,2,1,0,MISSING,5,5,108
