ec5_uuid,condition,date,msm,group,trial,phase,block_ID,Ind1,behaviour,qualifier,partner,notes,playing,aggression
weG,,2025-05-30T00:00:00.000Z,697,A2,,morn2,morn2_A2,TK,PL,,,,1,0
ZOW,,2025-05-30T00:00:00.000Z,698,A2,,morn2,morn2_A2,TK,PL,,,,1,0
jKe,,2025-05-31T00:00:00.000Z,611,A2,,morn1,morn1_A2,TK,PL,,,,1,0
62debad5-0448-4135-8593-9954b8501510,,2025-03-12T01:50:35.000Z,649,A1,,morn2,morn2_A1,MN,PL,,SR,,1,0
62debad5-0448-4135-8593-9954b8501510,,2025-03-12T01:50:35.000Z,649,A1,,morn2,morn2_A1,NR,PL,,ST,,1,0
74245bf4-7180-4a82-8ca6-4fa38685d859,,2025-03-12T01:52:14.000Z,651,A1,,morn2,morn2_A1,MN,PL,,SR,,1,0
74245bf4-7180-4a82-8ca6-4fa38685d859,,2025-03-12T01:52:14.000Z,651,A1,,morn2,morn2_A1,NR,PL,,ST,,1,0
31347887-c7b7-4b79-9ade-3ce14f50b042,,2025-03-12T01:53:25.000Z,653,A1,,morn2,morn2_A1,MN,PL,,SR,,1,0
31347887-c7b7-4b79-9ade-3ce14f50b042,,2025-03-12T01:53:25.000Z,653,A1,,morn2,morn2_A1,NR,PL,,ST,,1,0
74aeaa1c-33ab-4226-b480-ae7e0b9442f2,,2025-03-12T04:46:22.000Z,825,A1,,enrich,enrich_A1,MN,PL,,SR,,1,0
74aeaa1c-33ab-4226-b480-ae7e0b9442f2,,2025-03-12T04:46:22.000Z,825,A1,,enrich,enrich_A1,NR,PL,,ST,,1,0
41ee1bdd-6c7d-446a-9899-ec7d93eef98c,,2025-03-12T04:50:29.000Z,829,A1,,enrich,enrich_A1,MN,PL,,SR,,1,0
41ee1bdd-6c7d-446a-9899-ec7d93eef98c,,2025-03-12T04:50:29.000Z,829,A1,,enrich,enrich_A1,NR,PL,,ST,,1,0
fb170e91-de7c-4f2a-8450-21d322ba57af,,2025-03-12T04:54:32.000Z,833,A1,,enrich,enrich_A1,MN,PL,,"SR, NY",,1,0
fb170e91-de7c-4f2a-8450-21d322ba57af,,2025-03-12T04:54:32.000Z,833,A1,,enrich,enrich_A1,NY,PL,,,,1,0
8620f139-f793-4453-9f17-925a07b306c2,,2025-03-12T05:12:07.000Z,851,A1,,enrich,enrich_A1,MN,PL,,,,1,0
8620f139-f793-4453-9f17-925a07b306c2,,2025-03-12T05:12:07.000Z,851,A1,,enrich,enrich_A1,NR,PL,,,,1,0
9efb92a5-6656-4baf-87e0-601716676bc8,,2025-03-12T05:24:11.000Z,863,A1,,enrich,enrich_A1,NR,PL,,TK,,1,0
9efb92a5-6656-4baf-87e0-601716676bc8,,2025-03-12T05:24:11.000Z,863,A1,,enrich,enrich_A1,TK,PL,,SR,,1,0
27adf37e-1d10-4376-9887-da807ccc105e,,2025-03-12T05:28:44.000Z,867,A1,,enrich,enrich_A1,MN,PL,,SR,,1,0
27adf37e-1d10-4376-9887-da807ccc105e,,2025-03-12T05:28:44.000Z,867,A1,,enrich,enrich_A1,NR,PL,,ST,,1,0
2a93667e-a460-41e8-8d62-9addd6aca8f3,,2025-03-12T05:29:39.000Z,869,A1,,enrich,enrich_A1,NR,PL,,TK,,1,0
2a93667e-a460-41e8-8d62-9addd6aca8f3,,2025-03-12T05:29:39.000Z,869,A1,,enrich,enrich_A1,TK,PL,,SR,,1,0
f423c601-a907-41d2-a8ab-7aacb8f41b0e,,2025-03-12T05:31:24.000Z,871,A1,,enrich,enrich_A1,NR,PL,,TK,,1,0
f423c601-a907-41d2-a8ab-7aacb8f41b0e,,2025-03-12T05:31:24.000Z,871,A1,,enrich,enrich_A1,TK,PL,,SR,,1,0
1305166b-5863-43aa-b383-9b830490a346,,2025-03-12T05:35:57.000Z,875,A1,,enrich,enrich_A1,NR,PL,,TK,,1,0
1305166b-5863-43aa-b383-9b830490a346,,2025-03-12T05:35:57.000Z,875,A1,,enrich,enrich_A1,TK,PL,,,,1,0
a9694ae5-9cf8-4769-8e45-471bb1589581,,2025-03-12T05:40:13.000Z,879,A1,,enrich,enrich_A1,NR,PL,,TK,,1,0
a9694ae5-9cf8-4769-8e45-471bb1589581,,2025-03-12T05:40:13.000Z,879,A1,,enrich,enrich_A1,TK,PL,,SR,,1,0
22dd2697-736a-47bf-98f3-5b0a049f4a3e,,2025-03-12T05:41:50.000Z,881,A1,,enrich,enrich_A1,NR,PL,,TK,,1,0
22dd2697-736a-47bf-98f3-5b0a049f4a3e,,2025-03-12T05:41:50.000Z,881,A1,,enrich,enrich_A1,TK,PL,,SR,,1,0
51d8c48a-8260-4821-9814-79092498ac39,,2025-03-12T05:45:52.000Z,885,A1,,enrich,enrich_A1,NR,PL,,TK,,1,0
51d8c48a-8260-4821-9814-79092498ac39,,2025-03-12T05:45:52.000Z,885,A1,,enrich,enrich_A1,TK,PL,,SR,,1,0
