ec5_uuid,date,1_TIme,msm,corrected_msm,Ind_1(MZ),MZ_Behavior,MZ_Contact,MZ_AR,MZ_3M,Ind_2(SB),SB_Behavior,SB_Contact,SB_AR,SB_3M,Ind_3(GG),GG_Behavior,GG_Contact,GG_AR,GG_3M,Ind_4(MS),MS_Behavior,MS_Contact,MS_AR,MS_3M,condition,trial,first_day,phase,group,block_ID
f6ec494d-dabb-40ec-ac41-013da7ec8c36,04-05-2025,1900-01-01 13:25:00,805,805.0,MZ,E,,MS,,SB,E,,,,GG,E,,,,MS,E,,MZ,,Crow,6,True,enrich,C_2,enrich_C_2_trial6_first_cont
0ddcb9f3-127c-46ea-9784-931b97be6270,04-05-2025,1900-01-01 13:27:00,807,807.0,MZ,E,,,,SB,E,,,,GG,E,,,,MS,E,,,,Crow,6,True,enrich,C_2,enrich_C_2_trial6_first_cont
849fd4e5-6e0d-4322-a17a-8713edf00090,04-05-2025,1900-01-01 13:29:00,809,809.0,MZ,E,,MS,,SB,E,,,,GG,E,,,,MS,E,,MZ,,Crow,6,True,enrich,C_2,enrich_C_2_trial6_first_cont
bdb17473-2619-46d6-a398-e10517b33632,04-05-2025,1900-01-01 13:31:00,811,811.0,MZ,E,,MS,,SB,E,,,,GG,E,,,,MS,E,,MZ,,Crow,6,True,enrich,C_2,enrich_C_2_trial6_first_cont
442dfa30-fd04-4d46-8311-94f9e33bf5bd,04-05-2025,1900-01-01 13:32:00,812,813.0,MZ,E,,MS,,SB,E,,,,GG,E,,,,MS,E,,MZ,,Crow,6,True,enrich,C_2,enrich_C_2_trial6_first_cont
cfae3545-83a2-48e0-b5e1-6f2aab35d70f,04-05-2025,1900-01-01 13:34:00,814,815.0,MZ,E,,MS,,SB,E,,,,GG,E,,,,MS,E,,MZ,,Crow,6,True,enrich,C_2,enrich_C_2_trial6_first_cont
5a8e5f76-00d3-4ffe-a5d4-8039c80515d8,04-05-2025,1900-01-01 13:37:00,817,817.0,MZ,E,,MS,,SB,E,,,,GG,E,,,,MS,E,,MZ,,Crow,6,True,enrich,C_2,enrich_C_2_trial6_first_cont
58fc8bdb-ad10-4b03-a8df-b6a043f417df,04-05-2025,1900-01-01 13:38:00,818,819.0,MZ,E,,MS,,SB,E,,,,GG,E,,,,MS,E,,MZ,,Crow,6,True,enrich,C_2,enrich_C_2_trial6_first_cont
6b699bc2-f8c3-4aab-a6ed-e3c04190177a,04-05-2025,1900-01-01 13:41:00,821,821.0,MZ,E,,MS,,SB,E,,,,GG,E,,,,MS,E,,MZ,,Crow,6,True,enrich,C_2,enrich_C_2_trial6_first_cont
0c83089c-a057-44d8-8d0d-c734a8640732,04-05-2025,1900-01-01 13:43:00,823,823.0,MZ,E,,MS,,SB,E,,,,GG,E,,,,MS,E,,MZ,,Crow,6,True,enrich,C_2,enrich_C_2_trial6_first_cont
c33dc15c-1e08-4a0d-88a6-3652f99f3693,04-05-2025,1900-01-01 13:44:00,824,825.0,MZ,E,,MS,,SB,E,,,,GG,E,,,,MS,E,,MZ,,Crow,6,True,enrich,C_2,enrich_C_2_trial6_first_cont
dd4b0226-4589-47a8-a7c2-4a53f783b3dc,04-05-2025,1900-01-01 13:47:00,827,827.0,MZ,E,,MS,,SB,E,,,,GG,E,,,,MS,E,,MZ,,Crow,6,True,enrich,C_2,enrich_C_2_trial6_first_cont
