ec5_uuid;date;1_TIme;2_NC;4_MZ_Behavior;5_Contact;6_AR;7_3M;8_Occurence;9_Notes;11_SB_Behavior;12_Contact;13_AR;14_3M;15_Occurence;16_Notes;18_GG_Behavior;19_Contact;20_AR;21_3M;22_Occurence;23_Notes;25_MS_Behavior;26_Contact;27_AR;28_3M;29_Occurence;30_Notes;highlight;msm;corrected_msm
f8ed82cf-8ae8-46d0-8c90-2f3b6fdfc188;2025-03-23;1900-01-01 14:01:00;NO;M;;;;;;RS;;;;;;RS;;;MS;;;RS;;;GG;;;;841;841.0
9e1e87d1-1ae8-484a-ba93-35460607a1ee;2025-03-23;1900-01-01 14:03:00;NO;RL;;;;;;RS;;;GG;;;RS;;;SB;;;RS;;;GG;;;;843;843.0
359ab579-1172-4274-aeb1-eb1f1790641a;2025-03-23;1900-01-01 14:05:00;NO;RL;;;;;;RS;;;;;;RS;;;MS;;;RS;;;GG;;;red;845;845.0
3c2a45fb-8cf5-4270-b975-e46c9d5bd934;2025-03-23;1900-01-01 14:07:00;Yes;RL;;;;;;RS;;;;;;RS;;;MS;;;RS;;;GG;;;green;847;847.0
bff22915-b7b4-4ed3-85a1-22d599636fd4;2025-03-23;1900-01-01 14:09:00;Yes;RL;;;;;;RS;;;;;;RS;;;MS;;;RS;;;GG;;;green;849;849.0
cf00c583-e13d-4e5c-b296-1dd1dc63cf13;2025-03-23;1900-01-01 14:11:00;Yes;RL;;;;;;RS;;;;;;RS;;;MS;;;RS;;;GG;;;green;851;851.0
5c594955-1d3f-497f-a7f7-7e598e564a74;2025-03-23;1900-01-01 14:13:00;Yes;RL;;;;;;RS;;;;;;RS;;;MS;;;RS;;;GG;;;green;853;853.0
cf6bfdd3-93af-4748-a80a-406d11ed1884;2025-03-23;1900-01-01 14:15:00;Yes;RL;;;;;;RS;;;;;;RS;;;MS;;;RS;;;GG;;;green;855;855.0
e65f88bf-6b6c-471e-843f-0ba790ae6f9a;2025-03-23;1900-01-01 14:17:00;Yes;RL;;;;;;RS;;;;;;RS;;;MS;;;RS;;;GG;;;green;857;857.0
0aa8e9b7-55ec-44d7-94b3-121e2aa9de34;2025-03-23;1900-01-01 14:19:00;Yes;RL;;;;;;RS;;;;;;RS;;;MS;;;RS;;;GG;;;green;859;859.0
8f293647-377c-46b8-a378-410cd0363f5a;2025-03-23;1900-01-01 14:21:00;Yes;RL;;;;;;RS;;;;;;RS;;;MS;;;RS;;;GG;;;green;861;861.0
eba90f5e-5282-49ad-9628-debd1f2174ea;2025-03-23;1900-01-01 14:23:00;Yes;RL;;;;;;RS;;;;;;RS;;;MS;;;RS;;;GG;;;green;863;863.0
fa43fc05-f724-4e15-8f06-671dc9961917;2025-03-23;1900-01-01 14:25:00;Yes;RL;;;;;;RS;;;;;;RS;;;MS;;;RS;;;GG;;;green;865;865.0
0aae9dc1-9879-402c-bb90-94513f3b3b48;2025-03-23;1900-01-01 14:27:00;Yes;RL;;;;;;RS;;;;;;RS;;;MS;;;RS;;;GG;;;green;867;867.0
fbdb73e5-caca-4709-bbfc-a5a09776a2d4;2025-03-23;1900-01-01 14:29:00;Yes;RL;;;;;;RS;;;;;;RS;;;MS;;;RS;;;GG;;;green;869;869.0
bd1e8e6b-01eb-43ca-a156-908c11974e47;2025-03-23;1900-01-01 14:31:00;Yes;RL;;;;;;RS;;;;;;RS;;;MS;;;RS;;;GG;;;green;871;871.0
1ab2639d-265d-4f62-9852-786dd012cf97;2025-03-23;1900-01-01 14:33:00;Yes;RL;;;;;;RS;;;;;;RS;;;MS;;;RS;;;GG;;;green;873;873.0
f0519081-8435-477f-809c-7fc208675cfd;2025-03-23;1900-01-01 14:35:00;Yes;RL;;;;;;RS;;;;;;RS;;;MS;;;RS;;;GG;;;green;875;875.0
471cc62c-429b-4482-a4b7-0c58d85cc966;2025-03-23;1900-01-01 14:37:00;Yes;RL;;;;;;RS;;;;;;RS;;;MS;;;RS;;;GG;;;green;877;877.0
4b2438ea-8229-4ab1-9731-e26da9df2d7c;2025-03-23;1900-01-01 14:39:00;Yes;RL;;;;;;RS;;;;;;RS;;;MS;;;RS;;;GG;;;green;879;879.0
2ec900df-a33b-4bb1-9c50-d145218629b1;2025-03-23;1900-01-01 14:41:00;NO;M;;;;;;RS;;;;;;RS;;MS;MZ;;;RS;;;GG, MZ;;;;881;881.0
85c8b7f5-5dc5-4a90-916d-0600cc179de5;2025-03-23;1900-01-01 14:43:00;NO;RS;;;;;;RS;;;;;;RS;;;MS;;;RS;;;GG;;;;883;883.0
70fee721-edf5-47d4-a211-d7758c69b48c;2025-03-23;1900-01-01 14:45:00;NO;E;;;GG, MS;;;M;;;;;;RS;;;MZ, MS;;;RS;;;MZ, GG;;;;885;885.0
