ec5_uuid,date,1_TIme,msm,corrected_msm,Ind_1(MS),MS_Behavior,MS_Contact,MS_AR,MS_3M,MS_Notes,Ind_2(ST),ST_Behavior,ST_Contact,ST_AR,ST_3M,ST_Notes,Ind_3(NH),NH_Behavior,NH_Contact,NH_AR,NH_3M,NH_Notes,Ind_4(LN),LN_Behavior,LN_Contact,LN_AR,LN_3M,LN_Notes,Ind_5(NR),NR_Behavior,NR_Contact,NR_AR,NR_3M,NR_Notes,Ind_6(MN),MN_Behavior,MN_Contact,MN_AR,MN_3M,MN_Notes,Ind_7(NY),NY_Behavior,NY_Contact,NY_AR,NY_3M,NY_Notes,condition,trial,first_day,phase,group,is_all_occasions,block_ID
e6721147-29ff-47ac-b3de-86134a581577,09-04-2025,1900-01-01 11:35:00,695,695.0,MS,,,,,,ST,DS,,,,Displayed 10 seconds ago,NH,,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Crow,3,False,morn2,1,False,morn2_1_trial3_sec_cont
c37905c2-6c4d-47a0-9da3-795807124ee6,09-04-2025,1900-01-01 11:40:00,700,699.0,MS,,,,,,ST,DS,,,,,NH,,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Crow,3,False,morn2,1,False,morn2_1_trial3_sec_cont
a2b04628-495d-4a6d-aa06-afbedb5b9bea,16-04-2025,1900-01-01 09:39:00,579,578.0,MS,,,,,,ST,,,,,,NH,,,,,,LN,,,,,,NR,,,,,,MN,DS,,,,Towards cage c,NY,,,,,,Crow,4,True,morn1,3,False,morn1_3_trial4_first_cont
f3e5dfea-8396-4bf4-b44a-8a3d62935e7e,16-04-2025,1900-01-01 09:43:00,583,582.0,MS,,,,,,ST,,,,,,NH,DS,,,,,LN,,,,,,NR,,,,,,MN,,,,,Displayed pan hoot,NY,,,,,,Crow,4,True,morn1,3,False,morn1_3_trial4_first_cont
f3e5dfea-8396-4bf4-b44a-8a3d62935e7e,16-04-2025,1900-01-01 09:43:00,583,584.0,MS,,,,,,ST,,,,,,NH,DS,,,,,LN,,,,,,NR,,,,,,MN,DS,,,,Displayed pan hoot,NY,,,,,,Crow,4,True,morn1,3,False,morn1_3_trial4_first_cont
9e7f4adf-46b9-4050-90ff-ad45ab1c7ff0,16-04-2025,1900-01-01 10:53:00,653,653.0,MS,,,,,,ST,,,,,,NH,AG,"MN, NY",,,,LN,,,,,,NR,,,,,,MN,AG,"NH, NY",,,Ag towards ny,NY,AG,"NH, MN",,,,Crow,4,True,morn2,3,False,morn2_3_trial4_first_cont
1c807d5f-f6ee-4f99-8262-7093058d0410,16-04-2025,1900-01-01 10:56:00,656,655.0,MS,,,,,All for of them displayed toward cage c,ST,,,,,,NH,,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Crow,4,True,morn2,3,False,morn2_3_trial4_first_cont
1c807d5f-f6ee-4f99-8262-7093058d0410,16-04-2025,1900-01-01 10:56:00,656,,MS,DS,,,,All for of them displayed toward cage c,ST,,,,,,NH,DS,,,,,LN,,,,,,NR,,,,,,MN,DS,,,,,NY,DS,,,,,Crow,4,True,,3,False,_3_trial4_first_cont
96b5bc45-609a-4e46-942d-899748f2e30b,16-04-2025,1900-01-01 10:57:00,657,657.0,MS,DS,,,,,ST,,,,,,NH,DS,,,"MN, NY",,LN,,,,,,NR,,,,,,MN,DS,,,"NH, NY",,NY,DS,,,"NH, MN",All of them displayed toward cage c,Crow,4,True,morn2,3,False,morn2_3_trial4_first_cont
f01b9606-a535-4c4a-834f-f7659f6475b8,17-04-2025,1900-01-01 14:41:00,881,881.0,MS,PL,,NY,,,ST,,,,,,NH,,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,PL,,MS,,,Crow,4,False,enrich,3,False,enrich_3_trial4_sec_cont
190a107d-1c26-44a5-9847-164e62fa1498,21-04-2025,1900-01-01 09:35:00,575,574.0,MS,,,,,,ST,PL,,NH,,,NH,PL,,ST,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,4,True,morn1,1,False,morn1_1_trial4_first_play
dbf5b039-2c5d-48ff-b460-0e3a927b52d7,21-04-2025,1900-01-01 11:27:00,687,687.0,MS,PL,,ST,,,ST,PL,,MS,,,NH,,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,4,True,morn2,1,False,morn2_1_trial4_first_play
dbf5b039-2c5d-48ff-b460-0e3a927b52d7,21-04-2025,1900-01-01 11:27:00,687,,MS,PL,,ST,,,ST,PL,,MS,,,NH,,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,4,True,,1,False,_1_trial4_first_play
4da64fa8-ade7-4dca-b0f6-819321c82cc6,21-04-2025,1900-01-01 11:28:00,688,689.0,MS,,,,,,ST,,,,,,NH,,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,4,True,morn2,1,False,morn2_1_trial4_first_play
47650b7a-1bd6-4121-a718-28cc46d567a0,22-04-2025,1900-01-01 09:43:00,583,582.0,MS,,,,,,ST,,,,,,NH,DS,,,,Pan hoot towards cage c,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,4,False,morn1,1,False,morn1_1_trial4_sec_play
9bbaa949-29a8-4976-9454-51d568aa569b,22-04-2025,1900-01-01 11:18:00,678,677.0,MS,,,,,,ST,DS,,,,,NH,,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,4,False,morn2,1,False,morn2_1_trial4_sec_play
680a543f-5e61-4d08-bf2e-f4a7134bda73,22-04-2025,1900-01-01 11:20:00,680,679.0,MS,,,,,,ST,DS,,,,,NH,,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,4,False,morn2,1,False,morn2_1_trial4_sec_play
d6a23649-62b4-4809-bfcc-5f5516cd5ddc,22-04-2025,1900-01-01 11:21:00,681,681.0,MS,,,,,,ST,,,,,,NH,DS,,,,Displayed,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,4,False,morn2,1,False,morn2_1_trial4_sec_play
48f3b3f1-15d0-4b50-b6e9-e18dd9de4fe8,22-04-2025,1900-01-01 11:24:00,684,683.0,MS,,,,,,ST,PL,,NH,,,NH,PL,,ST,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,4,False,morn2,1,False,morn2_1_trial4_sec_play
