ec5_uuid,condition,date,msm,group,is_all_occasions,trial,phase,first_day,block_ID,Ind1,behaviour,partner,notes,playing,aggression,agg_morn1,play_morn1,agg_morn2,play_morn2,agg_enrich,play_enrich,agg_extra,play_extra
a8G,Crow,2025-05-04 00:00:00,895.0,2,True,6,enrich,True,enrich_2_trial6_first_cont,NY,PL,SR,,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
JKz,Crow,2025-05-04 00:00:00,896.0,2,True,6,enrich,True,enrich_2_trial6_first_cont,NY,PL,SR,,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
xjU,Playback,2025-04-04 00:00:00,603.0,3,True,3,morn1,False,morn1_3_trial3_sec_play,SR,DS,,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xOh,Playback,2025-04-04 00:00:00,811.0,3,True,3,enrich,False,enrich_3_trial3_sec_play,SR,DS,,,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
xho,Playback,2025-04-04 00:00:00,663.0,3,True,3,morn2,False,morn2_3_trial3_sec_play,SR,DS,,,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8o1,Playback,2025-04-04 00:00:00,578.0,3,True,3,morn1,False,morn1_3_trial3_sec_play,SR,DS,,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Da9,Crow,2025-05-01 00:00:00,608.0,3,True,5,morn1,False,morn1_3_trial5_sec_cont,SR,PL,TN,,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Uft,Playback,2025-04-04 00:00:00,582.0,3,True,3,morn1,False,morn1_3_trial3_sec_play,TK,DS,,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3Xa,Playback,2025-04-04 00:00:00,582.0,3,True,3,morn1,False,morn1_3_trial3_sec_play,TK,PL,ST,,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Aup,Playback,2025-04-04 00:00:00,593.0,3,True,3,morn1,False,morn1_3_trial3_sec_play,TK,DS,,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jRU,Playback,2025-04-04 00:00:00,600.0,3,True,3,morn1,False,morn1_3_trial3_sec_play,TK,DS,,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pHC,Playback,2025-04-04 00:00:00,679.0,3,True,3,morn2,False,morn2_3_trial3_sec_play,TK,PL,TN,MOUTH OPEN ON TN,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Qyx,Playback,2025-04-04 00:00:00,807.0,3,True,3,enrich,False,enrich_3_trial3_sec_play,TK,DS,,,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
K8Z,Playback,2025-04-04 00:00:00,589.0,3,True,3,morn1,False,morn1_3_trial3_sec_play,TK,PL,SR,TK follow SR - pull leg,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5Bm,Playback,2025-04-04 00:00:00,590.0,3,True,3,morn1,False,morn1_3_trial3_sec_play,TK,PL,SR,TK follow SR - pull leg,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
U5K,Playback,2025-04-04 00:00:00,591.0,3,True,3,morn1,False,morn1_3_trial3_sec_play,TK,PL,SR,TK follow SR - pull leg,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
V3C,Playback,2025-04-04 00:00:00,592.0,3,True,3,morn1,False,morn1_3_trial3_sec_play,TK,PL,SR,TK follow SR - pull leg,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
tfg,Crow,2025-04-08 00:00:00,579.0,1,True,3,morn1,True,morn1_1_trial3_first_cont,TK,PL,NR,slapping leg,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3eM,Crow,2025-04-08 00:00:00,599.0,1,True,3,morn1,True,morn1_1_trial3_first_cont,TK,PL,NR,chase in circles - pull leg,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
