ec5_uuid;created_at;1_TIme;2_NC;4_ST_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NY_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_SR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_TN_Behavior;29_Contact;30_AR;31_3M;32_Notes;highlight
e2c6ab47-6bdf-4f57-a069-59cd96c53b8c;2025-03-24T01:30:41.000Z;10:30;Yes;RS;;;SR;;E;;;;;RS;;;ST;;RL;;;;;RS;;;;;green
9071e0ea-df84-4491-8369-6d8d4e52fc88;2025-03-24T01:32:43.000Z;10:32;Yes;RS;;;SR;;E;;;;;RS;;;ST;;RL;;;;;RS;;;;;green
ee39d627-f724-431f-aac7-abbd207f43e4;2025-03-24T01:35:06.000Z;10:34;NO;RS;;;SR;;RS;;;;;RS;;;ST;;RL;;;;;RS;;;;;
26a336ed-3f00-4d1c-9a3c-cc237aa1aada;2025-03-24T01:37:05.000Z;10:36;NO;RS;;;SR;;RS;;;;;RS;;;ST;;RL;;TN;;;RS;;TK;;;
e0a2f8c3-5b46-4a28-9c39-3e4947d4fde0;2025-03-24T01:39:11.000Z;10:38;NO;RS;;;;;RS;;;;;M;;;;;RL;;TN;;;RS;SR;TK;;;
0fb71ee4-0551-4b12-9179-a353173040fe;2025-03-24T01:41:05.000Z;10:40;NO;RS;;;;;RS;;;SR;;M;;;NY;;RS;;TN;;;RS;;TK;;;
eb307cf1-09d4-4a34-a98c-4530f418d881;2025-03-24T01:43:06.000Z;10:42;NO;RS;;;;;RS;;;SR;;RS;;;NY;;RS;;TN;;;RS;;TK;;;
6eeffb3d-6b12-4664-99b0-5ad5081c5343;2025-03-24T01:45:09.000Z;10:44;NO;RS;;;;;M;;;TK, TN;;RS;;;;;RS;;TN;;;RL;;TK;;;
2b814498-d08e-4ec4-bfe8-1864636ba308;2025-03-24T01:47:08.000Z;10:46;NO;RS;;;;;RS;;SR;;;RS;;NY;;;RS;;TN;;;RL;;TK;;;
9896a76e-a0fc-4f82-a709-df07bc385eff;2025-03-24T01:49:10.000Z;10:48;NO;RS;;;;;E;;SR;;;RS;;NY;;;RS;;;TN;;RL;;;TK;;
24b133f5-5413-47a7-a03d-34ebbd636860;2025-03-24T01:51:14.000Z;10:50;NO;RS;;;;;RS;;;;;M;;;NY;;RS;;;TN;;RL;;;TK;;red
13b9a2ab-86df-49e4-96c6-11b0c0587d72;2025-03-24T01:52:42.000Z;10:52;Yes;RS;;;;;RS;;;;;M;;;NY;;RS;;;TN;;RL;;;TK;;green
